,batch,epoch_num,epochs,initialization,layers,lr,optimizer,time_s,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss,total_time_s
0,100.0,20.0,20.0,random_normal,3.0,0.001,Adam,34.8,0.26010000705718994,0.16779999434947968,2.271899938583374,0.2264,0.1463,2.3578999042510986,686.5199999999999
1,500.0,19.0,20.0,random_normal,3.0,0.001,Adam,24.6,0.1907999962568283,0.0843999981880188,2.470900058746338,0.1825,0.0812,2.484100103378296,492.22
2,100.0,34.0,40.0,random_normal,3.0,0.001,Adam,37.19,0.2987000048160553,0.2160000056028366,2.1642000675201416,0.2355,0.1887,2.3261001110076904,1487.4
3,500.0,39.0,40.0,random_normal,3.0,0.001,Adam,24.81,0.2282000035047531,0.13770000636577606,2.375,0.2136,0.128,2.4235000610351562,995.52
4,100.0,19.0,20.0,random_normal,3.0,0.01,Adam,37.2,0.4108999967575073,0.3546000123023987,1.8291000127792358,0.2655,0.2127,2.2841999530792236,745.65
5,500.0,17.0,20.0,random_normal,3.0,0.01,Adam,24.0,0.2597000002861023,0.18520000576972961,2.240799903869629,0.2294,0.1814,2.3396999835968018,489.93999999999994
6,100.0,39.0,40.0,random_normal,3.0,0.01,Adam,33.66,0.6409000158309937,0.6164000034332275,1.1884000301361084,0.2891,0.2664,2.387200117111206,1369.0700000000002
7,500.0,40.0,40.0,random_normal,3.0,0.01,Adam,21.37,0.32280001044273376,0.26600000262260437,2.086199998855591,0.2156,0.2055,2.327399969100952,859.4100000000001
8,100.0,20.0,20.0,random_normal,3.0,0.001,SGD,33.8,0.2639000117778778,0.1729000061750412,2.2606000900268555,0.2345,0.1684,2.3536999225616455,670.9399999999999
9,500.0,19.0,20.0,random_normal,3.0,0.001,SGD,21.26,0.1973000019788742,0.0843999981880188,2.456199884414673,0.1876,0.0855,2.4814000129699707,427.43
10,100.0,38.0,40.0,random_normal,3.0,0.001,SGD,33.74,0.3028999865055084,0.2215999960899353,2.157399892807007,0.2409,0.1989,2.3220999240875244,1345.27
11,500.0,38.0,40.0,random_normal,3.0,0.001,SGD,23.68,0.21860000491142273,0.12290000170469284,2.391400098800659,0.2004,0.1165,2.4328999519348145,892.73
12,100.0,13.0,20.0,random_normal,3.0,0.01,SGD,34.95,0.33390000462532043,0.26829999685287476,2.042799949645996,0.2372,0.2148,2.3306000232696533,698.7299999999999
13,500.0,20.0,20.0,random_normal,3.0,0.01,SGD,21.83,0.2786000072956085,0.20980000495910645,2.2116000652313232,0.2264,0.1832,2.3334999084472656,442.06999999999994
14,100.0,39.0,40.0,random_normal,3.0,0.01,SGD,33.56,0.6617000102996826,0.6402000188827515,1.1452000141143799,0.2574,0.2753,2.4595000743865967,1358.68
15,500.0,32.0,40.0,random_normal,3.0,0.01,SGD,21.41,0.30480000376701355,0.24709999561309814,2.1308000087738037,0.2449,0.1987,2.303800106048584,857.54
